ID,Name,Tflood,Fr,Fc,Fm,Fs,TEVI,TFEVI,Er,Ec,Em,Es,EFr,EFc,EFm,EFs
21,Jafarabad,224092.8527,67386.0828,0.0,403.3237,69092.4523,0.1139536400794433,0.112187424506869,0.15905266656274253,,0.11453590794451453,0.10477168588255384,0.15861150861938852,,0.11453590794451453,0.10255235319881907
23,Nasirabad,170978.22389999998,74770.00899999999,0.0,0.0,11262.0387,0.12342592792360653,0.15286748931347433,0.20000985800980065,,,0.1703157773550017,0.2015426061152301,,,0.17409255972542134
47,Lakki Marwat,49515.7404,0.0,0.0,310.249,0.0,0.10230240595861068,0.10089622493734336,,,0.18396401836855625,,,,0.1954102049180328,
48,Dera Ismail Khan,432921.4546,3040.4402,15078.1014,52276.9565,4560.6603,0.13462143447049302,0.11582139159815508,0.1848777704918033,0.21994402203652572,0.20531989490169308,0.08672869883493144,0.184199368517899,0.17602993405518425,0.1817909208542108,0.07899341474294634
68,Charsadda,7570.0756,0.0,2978.3904,775.6225,0.0,0.27612171721089784,0.16721312483203446,,0.2950516526791257,0.2633855215435951,,,0.16476095457650275,0.2057968524590164,
69,Nowshera,53952.3011,0.0,5212.1832,6173.9551,0.0,0.16904588683765312,0.1438519162605229,,0.2148577114483877,0.20449812821586705,,,0.18399672619047613,0.1689158373836396,
77,Bahawalnagar,197039.1399,82371.10949999999,1613.2948,13775.0556,37664.2286,0.18743641239666256,0.1970233718195916,0.22730858028223794,0.2872101295026208,0.2171089839700924,0.20385404231136425,0.2341550549535364,0.2383808874527112,0.20600253747600064,0.21411780626299715
78,Bahawalpur,452932.5151,86001.02279999999,7352.901299999998,11944.5865,34809.9378,0.12286657942535713,0.1372119541648372,0.2460776526777705,0.25282728515534303,0.2342243348267017,0.18576560677983187,0.2492150891230815,0.2361015511516911,0.23481209388971694,0.1995299972969812
79,Rahimyar Khan,248106.1253,46040.9516,30621.5763,32917.4189,25006.0694,0.1842984304724136,0.15420170125272356,0.23694935218227525,0.3017366194761064,0.237570683607234,0.17946046428778312,0.2290394895276389,0.21876971240885612,0.16423683580290785,0.166646349103039
80,Dera Ghazi Kha,318346.4989,68254.78,8314.6732,17187.7946,24540.6959,0.12682990844874106,0.129330917040649,0.2269685975216207,0.2424219323065557,0.1864511091792241,0.17584190145234685,0.20609667473919555,0.19439974155860046,0.13382507545718186,0.1423161934467679
81,Layyah,153511.2052,20879.7577,13464.8066,23051.5007,7725.2001,0.14934495538023246,0.12106448921239925,0.21694574978527226,0.24392672298427545,0.2116696924021218,0.18621830794809074,0.17849147260857914,0.2417723332326056,0.16958093297001522,0.11527423793534795
82,Muzaffargarh,470461.5836,72846.46519999999,70860.8716,113954.4577,48522.9436,0.18200660151225015,0.14748655786893825,0.22290891046996,0.2536088773604485,0.19445054750661328,0.16992070991345976,0.16506916088334725,0.21466142480836048,0.1633538142760865,0.13374816726761973
83,Rajan Pur,331314.9071,102630.3692,19204.4131,14240.4291,47840.3958,0.12832098756325924,0.12994835340234204,0.21099732549482364,0.23541230034146274,0.1635434017064203,0.1331094566533168,0.18399050810751896,0.2012057555814506,0.13642241776492015,0.10151503635899717
85,Jhang,391099.8894,62546.1984,22182.8035,93322.8992,54138.4505,0.2051127912712063,0.17125529334196846,0.24020607160451904,0.26623569364084426,0.236125105023822,0.2073068579775552,0.20539525883099136,0.21966295024647486,0.1909940203174051,0.18189389943163176
86,Toba Tek Singh,39525.7226,14364.5287,7663.150299999998,8873.1214,4467.5855999999985,0.24939173637076925,0.2124441937746094,0.26680810368852403,0.2821381142252779,0.2330300970483977,0.21631229589272125,0.2310372437418122,0.22347705747660454,0.195761231800986,0.21136660405282326
87,Gujarat,110045.3203,68006.5808,2916.3406,22834.3264,5708.5816,0.2590842608174365,0.2281383552020409,0.2613074915029164,0.28894173759792635,0.2552298905492136,0.23974234547426174,0.24347871862660045,0.2362087940355772,0.2107573286038846,0.21142708036350674
88,Gujranwala 1,222076.2342,195860.1937,6639.3286,3816.0627,8562.8724,0.2425136138459928,0.243355234370348,0.2459997457550677,0.2670821642496848,0.2437457398270466,0.2319671437578817,0.2445854572142318,0.26804185498697697,0.2394148107423697,0.2465325077215489
90,Gujrat,77748.3994,27581.1361,0.0,12285.8604,22896.3762,0.2114392022980236,0.19970117194143885,0.22645563067554814,0.2292664262295083,0.21559675302498035,0.2121420181524256,0.216690853141308,,0.2069316153336644,0.1974150167710695
91,Hafizabad,223255.1804,161019.231,0.0,12099.711000000001,29442.6301,0.21854434856314664,0.21457822492459397,0.22602636616401894,,0.2294284666958461,0.21313159376648916,0.22424511884456294,,0.21321575872215207,0.2080352074660124
94,Sialkot,259461.2387,216646.8767,3971.1872,13868.1303,16226.0227,0.2326673692345972,0.2301153910766193,0.2374712625536366,0.2375502225354203,0.2320281502580028,0.2100882708640361,0.23434725926899755,0.21301215740266394,0.22690941064290174,0.20505360937842845
95,Kasur,83208.7818,20228.2348,9741.8186,21221.0316,15729.6243,0.2561876077847726,0.2024729379836433,0.2577404383629379,0.289682896802285,0.25075437955866425,0.2287929311221249,0.22868502212611874,0.20277846924924303,0.20563030689770875,0.20327211821385846
101,Khanewal,84791.0517,45978.9018,11572.2877,11665.3624,7011.6273999999985,0.26991071697153873,0.23786195782572456,0.2745267408536381,0.2921027996593564,0.2483231189194012,0.2272762773353657,0.2643552473949692,0.23349681580450946,0.2208336468869899,0.20716284999274626
